record_id,energy_node_id,region,substation_type,device_type,communication_protocol,packet_size_bytes,packet_rate_per_sec,network_latency_ms,bandwidth_usage_mbps,jitter_ms,packet_loss_percent,connection_duration_sec,active_connection_count,failed_connection_count,authentication_attempts,failed_login_count,user_role,device_trust_level,firmware_version,cpu_utilization_percent,memory_utilization_percent,power_consumption_kw,sensor_update_interval_ms,telemetry_volume_mb,scada_command_count,control_signal_frequency,measurement_variance,voltage_deviation_percent,frequency_deviation_hz,event_severity,alert_priority,encryption_algorithm,certificate_status,intrusion_signature_score,behavior_anomaly_score,traffic_entropy,session_risk_score,federated_round,attack_type
18,Node_06,North,Distribution,Edge_Node,TCP_IP,957,49,35.9,299.79,6.99,21.07,7020,246,50,29,5,Engineer,Guest,v1.0,68.49,14.57,244.28,898.68,44.45,557,241.37,19.86,3.72,1.706,Low,P1,AES128,Expired,0.3508,0.8863,0.213,46.03,1,Reconnaissance
19,Node_05,Central,Distribution,IED,TCP_IP,930,1457,209.38,59.73,36.64,2.92,3079,244,58,14,10,Supervisor,Trusted,v2.3,13.98,34.05,253.0,809.76,56.73,123,498.24,10.448,-7.26,-1.408,Critical,P4,RSA2048,Valid,0.7663,0.0677,7.621,59.88,26,Spoofing_Attack
20,Node_02,North,Renewable,IED,Modbus,507,180,76.24,398.87,29.32,14.58,5971,85,43,40,7,Administrator,Guest,v1.0,46.73,99.66,233.46,224.82,158.68,574,11.6,12.004,-1.44,-0.694,High,P4,ChaCha20,Valid,0.1154,0.0411,7.773,64.24,50,Insider_Threat
21,Node_08,East,Renewable,IED,Modbus,1220,635,56.19,40.98,38.52,25.24,402,111,45,48,8,Engineer,Restricted,v3.0,53.82,74.06,245.89,103.22,59.35,598,313.14,14.829,3.63,0.649,High,P1,AES128,Revoked,0.368,0.7528,0.172,25.96,15,Command_Injection
22,Node_12,South,Distribution,RTU,MQTT,239,328,185.2,176.86,37.72,14.88,6646,254,25,2,19,Administrator,Trusted,v1.0,87.74,48.77,356.48,628.05,97.41,598,347.81,1.115,7.25,-1.401,Low,P1,ChaCha20,Expired,0.6107,0.229,6.02,28.08,81,Insider_Threat
23,Node_06,Central,Industrial,PLC,MQTT,1174,1457,212.31,879.33,23.81,7.23,2781,289,26,49,17,Engineer,Guest,v2.3,12.18,52.92,392.79,204.91,15.14,365,295.02,14.295,0.35,-1.41,Low,P1,AES128,Valid,0.8115,0.1461,3.579,84.91,1,Normal
24,Node_02,North,Distribution,Edge_Node,TCP_IP,824,153,24.18,762.82,20.91,10.66,6488,151,7,45,15,Administrator,Guest,v1.0,43.14,52.75,29.56,725.18,151.94,604,257.57,9.958,-3.49,1.608,Critical,P1,RSA2048,Valid,0.2884,0.5976,3.281,98.87,84,DoS_Attack
25,Node_12,South,Transmission,IED,MQTT,280,585,38.74,995.74,42.79,17.37,2440,83,21,38,7,Supervisor,Restricted,v1.2,45.31,58.65,81.46,250.51,46.56,896,179.92,14.472,-0.09,-0.81,High,P2,AES128,Expired,0.9414,0.1936,0.545,44.64,54,Command_Injection
26,Node_05,West,Distribution,Edge_Node,MQTT,1493,1378,119.16,894.95,45.61,18.68,867,179,37,65,12,Engineer,Restricted,v2.3,67.39,73.31,310.85,482.08,38.22,696,326.84,18.03,-6.75,-1.383,Medium,P1,RSA2048,Expired,0.1694,0.8019,4.589,92.31,98,Command_Injection
27,Node_01,East,Industrial,IED,DNP3,926,55,147.96,856.44,20.97,0.24,3499,268,7,1,11,Maintenance,Guest,v2.3,73.37,10.92,8.0,897.32,196.46,101,110.89,12.403,-0.67,-1.279,Medium,P3,RSA2048,Expired,0.7887,0.4335,5.432,67.69,28,Reconnaissance
28,Node_12,East,Distribution,Edge_Node,DNP3,1494,850,21.73,178.87,46.47,5.37,1252,226,22,4,16,Engineer,Restricted,v1.2,61.94,45.47,145.88,157.53,5.01,413,467.2,1.374,2.18,0.261,Medium,P1,RSA2048,Revoked,0.5132,0.1124,4.301,6.8,42,Replay_Attack
29,Node_10,Central,Distribution,Smart_Meter,DNP3,667,99,94.38,650.08,46.07,20.75,6271,110,11,2,22,Administrator,Trusted,v3.0,63.94,77.65,19.29,166.01,51.2,25,466.65,16.762,-4.53,-0.644,Low,P3,AES128,Valid,0.5872,0.7198,3.62,66.21,29,Insider_Threat
30,Node_06,North,Distribution,Edge_Node,IEC61850,1319,803,224.5,602.53,6.48,2.49,806,46,18,7,17,Supervisor,Guest,v3.0,7.79,61.96,241.05,952.52,36.25,272,247.97,7.456,-1.72,0.701,Medium,P3,AES256,Expired,0.6863,0.9881,1.698,52.4,77,Malware
31,Node_12,West,Transmission,SCADA_Server,TCP_IP,883,456,219.14,918.32,23.21,25.53,5706,164,19,47,3,Maintenance,Trusted,v1.0,44.65,99.77,314.63,148.75,53.6,745,293.37,11.197,8.79,-0.95,High,P4,RSA2048,Valid,0.1977,0.4582,1.403,66.46,90,Spoofing_Attack
32,Node_09,Northeast,Renewable,PLC,MQTT,1125,1006,78.49,782.11,40.27,9.16,951,280,32,18,23,Engineer,Restricted,v3.0,40.25,26.34,268.34,814.04,151.39,1082,499.78,4.436,-9.57,1.439,High,P1,RSA2048,Revoked,0.7202,0.1782,2.605,56.9,93,Spoofing_Attack
33,Node_01,Central,Industrial,Smart_Meter,IEC61850,487,1163,57.63,775.86,7.49,23.63,1714,150,9,79,11,Administrator,Trusted,v2.0,44.24,47.12,154.49,818.57,133.13,947,289.72,15.59,7.25,-0.241,Low,P4,AES256,Expired,0.036,0.0698,5.081,97.09,6,Spoofing_Attack
34,Node_11,Northeast,Transmission,Smart_Meter,OPC_UA,1486,1177,146.11,328.11,12.02,25.25,5809,192,10,8,3,Administrator,Guest,v1.2,62.89,92.2,156.2,639.96,218.68,201,440.52,9.206,6.48,0.903,Low,P4,ChaCha20,Valid,0.4717,0.5092,1.086,18.56,100,Malware
35,Node_11,Central,Distribution,IED,TCP_IP,944,424,24.93,128.79,27.66,28.15,4330,159,33,73,10,Operator,Guest,v1.0,96.34,58.75,149.87,147.43,41.89,169,79.29,14.879,-3.06,-1.931,High,P4,ChaCha20,Valid,0.5914,0.6165,1.719,98.65,55,DoS_Attack
36,Node_10,North,Distribution,Gateway,OPC_UA,1028,284,59.11,372.21,6.1,21.26,6948,120,6,75,24,Administrator,Guest,v1.2,53.98,76.16,18.45,414.96,172.32,671,196.28,18.333,-4.04,-1.979,Low,P3,AES256,Revoked,0.8903,0.3116,5.233,59.98,38,Malware
37,Node_12,West,Renewable,SCADA_Server,DNP3,971,252,42.52,212.39,16.83,25.85,7198,230,19,58,15,Supervisor,Restricted,v2.0,29.96,43.89,37.89,706.42,193.54,234,295.83,3.557,4.14,1.176,Critical,P1,ChaCha20,Expired,0.7101,0.7106,4.925,16.34,99,Spoofing_Attack
38,Node_12,North,Renewable,PLC,OPC_UA,642,466,52.73,729.06,25.74,8.18,6863,107,5,39,19,Administrator,Guest,v2.0,20.66,68.82,293.11,982.68,46.33,689,462.94,3.662,7.81,-0.478,Critical,P3,ChaCha20,Revoked,0.3874,0.1037,1.87,55.2,4,DoS_Attack
39,Node_03,East,Renewable,Smart_Meter,DNP3,248,446,54.49,462.02,39.57,0.47,400,164,20,62,8,Administrator,Restricted,v2.3,33.42,28.05,70.61,32.38,50.13,873,20.2,17.802,-9.0,-0.409,Low,P2,AES256,Expired,0.2539,0.4745,7.013,94.4,96,Reconnaissance
40,Node_12,Northeast,Transmission,Gateway,TCP_IP,1464,987,157.24,236.11,7.88,20.38,614,98,49,2,13,Supervisor,Guest,v2.3,74.84,46.26,118.64,381.19,95.57,1052,387.64,19.292,0.55,-0.06,Critical,P4,RSA2048,Valid,0.744,0.6664,2.047,21.91,65,Replay_Attack
41,Node_07,South,Industrial,Gateway,TCP_IP,338,1071,122.54,659.69,36.08,7.68,4183,217,33,30,19,Operator,Restricted,v2.3,13.77,24.59,375.83,128.45,118.18,122,328.83,5.397,-4.56,0.231,Critical,P4,RSA2048,Valid,0.7225,0.2265,5.797,49.77,20,Insider_Threat
42,Node_04,East,Renewable,Smart_Meter,MQTT,665,1344,215.71,73.75,47.39,22.49,1871,187,27,13,9,Administrator,Guest,v1.0,42.03,44.86,5.58,195.11,134.81,917,195.8,2.877,-7.2,0.165,High,P1,AES128,Valid,0.5823,0.2478,4.723,91.91,64,Normal
43,Node_09,East,Distribution,IED,IEC61850,1373,998,184.17,918.25,10.35,11.26,2758,87,52,15,12,Supervisor,Trusted,v2.3,66.39,26.51,217.89,811.58,237.99,182,373.5,5.867,-0.51,0.465,High,P3,AES256,Revoked,0.5402,0.9998,1.203,10.78,43,Reconnaissance
44,Node_03,Northeast,Industrial,RTU,DNP3,1435,48,125.21,580.42,11.36,23.04,1991,91,54,63,8,Operator,Restricted,v2.0,48.77,35.72,99.6,757.88,145.26,587,282.59,6.235,-7.87,0.889,Critical,P3,AES256,Revoked,0.5058,0.2439,0.429,60.9,14,Spoofing_Attack
45,Node_05,Central,Distribution,Smart_Meter,Modbus,782,396,77.55,463.68,39.22,22.85,4815,113,11,27,3,Supervisor,Restricted,v2.3,32.07,39.57,327.67,931.13,56.68,692,220.12,13.324,0.61,1.028,High,P3,AES128,Revoked,0.9341,0.0308,4.83,71.27,27,Reconnaissance
46,Node_03,East,Distribution,IED,Modbus,593,1356,208.16,252.86,6.72,13.25,3352,59,57,29,12,Administrator,Trusted,v2.3,6.27,79.91,131.2,634.15,175.42,705,37.76,6.217,-9.39,1.814,Medium,P4,AES256,Expired,0.1361,0.0912,4.278,28.39,85,False_Data_Injection
47,Node_07,West,Industrial,PLC,MQTT,1076,52,20.8,550.15,23.51,25.78,6083,142,21,1,9,Operator,Trusted,v1.2,60.68,78.09,163.15,126.65,102.08,577,190.34,3.953,1.11,0.7,Medium,P3,RSA2048,Revoked,0.2117,0.4479,7.304,53.36,11,Reconnaissance
48,Node_05,East,Transmission,IED,IEC61850,819,1028,170.57,290.73,20.67,14.08,2357,15,53,40,11,Maintenance,Guest,v1.2,48.0,88.19,305.31,475.51,165.3,219,160.24,10.211,-3.85,0.687,Critical,P1,AES256,Expired,0.5574,0.1558,0.786,7.88,12,DoS_Attack
49,Node_09,West,Industrial,Gateway,DNP3,70,1497,29.14,397.56,25.56,28.77,3768,68,0,12,23,Supervisor,Guest,v2.3,35.35,26.58,145.98,138.94,79.9,751,360.81,18.853,6.76,0.0,High,P4,ChaCha20,Expired,0.9378,0.8647,0.541,85.84,38,False_Data_Injection
50,Node_07,North,Renewable,SCADA_Server,MQTT,251,979,133.67,889.1,25.95,1.2,432,78,50,71,10,Supervisor,Restricted,v1.2,38.81,17.09,274.8,723.98,43.93,807,477.09,15.793,0.24,1.543,Critical,P1,RSA2048,Revoked,0.2584,0.1788,7.798,60.2,89,Insider_Threat
51,Node_02,Central,Industrial,SCADA_Server,IEC61850,1203,639,225.5,198.17,27.89,16.26,5503,237,13,8,13,Operator,Trusted,v1.2,19.81,38.96,370.39,209.13,247.19,799,374.83,3.469,0.88,-1.395,Medium,P2,AES128,Expired,0.506,0.5239,5.095,23.58,73,Insider_Threat
52,Node_04,West,Renewable,PLC,Modbus,562,919,60.28,351.29,40.9,0.56,4046,236,36,7,18,Supervisor,Guest,v2.3,43.93,42.45,76.05,183.23,164.28,601,217.99,10.438,4.4,0.736,Critical,P4,RSA2048,Revoked,0.8181,0.5988,2.232,26.05,72,Malware
53,Node_09,East,Renewable,SCADA_Server,DNP3,126,1315,20.55,657.56,21.41,9.46,3349,137,27,58,8,Operator,Trusted,v3.0,78.77,86.53,330.81,985.58,157.89,587,308.44,4.358,-6.15,0.676,Medium,P3,RSA2048,Expired,0.3057,0.5634,5.968,0.26,86,Malware
54,Node_12,Central,Industrial,PLC,IEC61850,504,520,85.54,726.15,10.78,13.86,3465,273,37,41,0,Engineer,Restricted,v1.0,77.82,51.15,319.93,686.59,146.83,636,54.22,19.694,-8.13,0.268,Critical,P3,RSA2048,Expired,0.6613,0.573,2.205,83.64,13,Insider_Threat
55,Node_02,Central,Industrial,RTU,OPC_UA,1431,918,120.09,119.34,39.29,5.12,6200,159,5,22,9,Supervisor,Restricted,v2.0,31.84,48.97,48.18,52.77,224.69,725,224.89,10.187,7.42,-0.205,Medium,P2,ChaCha20,Expired,0.8503,0.9909,4.406,36.75,9,Reconnaissance
56,Node_10,West,Renewable,RTU,DNP3,650,876,181.48,936.56,48.96,24.42,3625,18,6,19,16,Supervisor,Guest,v2.3,32.29,83.82,235.44,175.46,101.05,570,213.25,12.849,8.51,-0.192,Low,P3,AES128,Revoked,0.6768,0.456,0.424,37.18,15,DoS_Attack
57,Node_09,West,Distribution,Smart_Meter,OPC_UA,442,722,8.4,31.94,6.29,12.58,5104,271,30,34,0,Administrator,Restricted,v2.0,38.25,82.0,316.15,320.98,29.77,967,344.74,9.022,4.75,-0.734,Critical,P4,AES256,Revoked,0.6821,0.6863,5.522,93.25,7,Reconnaissance
58,Node_10,South,Industrial,SCADA_Server,TCP_IP,358,1125,33.59,71.56,13.02,4.33,4492,121,3,47,5,Administrator,Trusted,v2.0,93.35,46.55,101.91,448.4,107.14,366,488.35,10.382,7.14,-1.483,Critical,P2,AES128,Valid,0.5925,0.7322,6.775,24.93,13,Replay_Attack
59,Node_05,South,Transmission,IED,TCP_IP,1319,627,103.27,763.29,48.87,8.75,792,294,50,67,7,Supervisor,Guest,v2.3,33.48,37.82,93.46,279.46,94.37,801,261.71,5.016,2.92,-0.792,Medium,P2,RSA2048,Revoked,0.2692,0.1116,0.382,51.65,43,Command_Injection
60,Node_02,Central,Renewable,Smart_Meter,TCP_IP,503,1189,24.66,772.62,11.08,4.02,4908,198,25,67,20,Supervisor,Guest,v3.0,15.46,66.3,482.68,231.65,154.33,3,310.97,8.23,0.99,-0.683,High,P4,RSA2048,Expired,0.1753,0.2433,1.168,85.88,42,Reconnaissance
61,Node_04,Northeast,Distribution,RTU,MQTT,457,588,239.02,667.76,21.12,16.3,5353,154,26,68,6,Supervisor,Guest,v2.0,88.01,62.6,322.01,82.78,225.77,916,142.23,3.701,3.86,0.582,Critical,P2,AES256,Expired,0.0573,0.9558,2.832,81.21,62,Command_Injection
62,Node_12,Northeast,Industrial,Gateway,IEC61850,800,749,128.24,524.05,4.18,14.03,532,56,57,44,21,Supervisor,Restricted,v1.2,74.02,95.96,327.26,968.53,199.21,1054,179.71,10.446,4.77,1.674,High,P3,ChaCha20,Expired,0.9182,0.1001,4.614,36.89,78,Malware
63,Node_12,South,Industrial,RTU,TCP_IP,1363,303,94.86,292.19,15.25,6.33,931,147,38,58,0,Supervisor,Restricted,v1.0,12.42,67.72,434.1,114.72,205.49,630,391.65,1.164,-6.4,-0.734,Low,P1,RSA2048,Revoked,0.8205,0.4891,1.839,20.54,9,Spoofing_Attack
64,Node_07,East,Distribution,IED,IEC61850,937,699,244.95,840.78,12.96,29.15,3235,178,23,42,18,Administrator,Guest,v2.0,89.02,20.11,328.42,656.57,189.18,680,77.0,11.461,6.52,-1.09,Medium,P4,RSA2048,Valid,0.2551,0.003,6.551,49.59,84,Malware
65,Node_12,North,Transmission,Gateway,IEC61850,767,938,161.88,700.26,47.88,19.79,5346,26,33,76,15,Administrator,Trusted,v1.2,87.86,73.66,27.74,591.5,197.72,494,170.78,7.533,8.15,0.512,Low,P1,AES256,Revoked,0.6049,0.9442,3.411,67.66,52,DoS_Attack
66,Node_08,Central,Renewable,SCADA_Server,IEC61850,1254,155,129.44,968.21,7.03,9.59,2652,106,21,38,15,Engineer,Restricted,v2.3,29.73,94.93,454.67,946.28,222.95,554,410.5,13.601,2.22,1.825,Critical,P4,ChaCha20,Revoked,0.0861,0.0816,4.441,29.47,65,False_Data_Injection
67,Node_03,North,Industrial,Smart_Meter,DNP3,162,672,61.04,457.04,15.5,11.05,4913,203,0,50,13,Supervisor,Guest,v2.3,10.56,52.76,135.09,917.02,48.94,202,295.38,15.954,-2.81,1.173,Medium,P3,RSA2048,Valid,0.6926,0.7403,7.439,9.07,19,Malware
68,Node_01,South,Transmission,Smart_Meter,OPC_UA,946,1215,64.02,473.18,3.98,28.27,133,77,56,49,7,Supervisor,Trusted,v2.0,63.72,46.62,24.22,620.28,158.74,1106,469.16,0.022,-5.44,-1.208,High,P2,AES128,Expired,0.0538,0.8063,1.43,35.36,55,Command_Injection
69,Node_04,West,Renewable,RTU,OPC_UA,475,908,91.2,792.43,33.6,17.34,6063,177,43,11,18,Maintenance,Trusted,v2.3,46.35,57.26,320.88,219.56,66.44,797,313.99,1.41,2.02,-0.427,Medium,P3,AES256,Expired,0.5999,0.7764,7.28,42.29,66,Malware
70,Node_02,Central,Transmission,RTU,MQTT,1315,1053,187.93,993.08,49.31,3.36,850,170,22,56,20,Maintenance,Guest,v2.3,97.4,70.21,216.93,578.31,60.67,901,158.57,17.245,-8.67,-1.111,Critical,P3,AES256,Revoked,0.0077,0.5666,2.242,55.37,54,Malware
71,Node_08,South,Renewable,SCADA_Server,TCP_IP,477,316,204.19,896.92,7.66,24.19,1225,151,26,1,0,Supervisor,Trusted,v2.0,56.12,84.32,376.68,518.65,62.38,641,42.0,13.031,8.32,-0.046,Low,P2,AES256,Valid,0.5183,0.9329,3.269,5.82,7,DoS_Attack
72,Node_04,East,Renewable,Edge_Node,MQTT,377,726,48.83,300.99,31.36,26.36,6214,94,55,68,16,Maintenance,Guest,v2.3,51.31,91.97,380.86,187.83,171.37,94,470.56,4.526,-0.34,-1.058,Medium,P2,ChaCha20,Revoked,0.3887,0.6762,3.775,54.87,38,False_Data_Injection
73,Node_02,Central,Transmission,Smart_Meter,IEC61850,389,349,204.54,953.85,7.67,19.51,3439,56,51,46,8,Engineer,Guest,v2.3,66.83,62.2,343.94,859.99,131.96,942,268.42,12.176,6.37,-1.848,Low,P3,AES128,Expired,0.7697,0.6238,0.399,82.77,80,Malware
74,Node_06,Central,Renewable,SCADA_Server,Modbus,1149,1476,83.4,201.98,11.32,1.42,257,39,13,50,13,Supervisor,Guest,v2.3,81.27,90.61,26.77,36.97,233.8,483,253.37,15.061,8.66,-1.586,High,P3,AES256,Valid,0.8232,0.9303,7.756,31.84,48,Spoofing_Attack
75,Node_06,Northeast,Industrial,Smart_Meter,Modbus,192,467,50.87,424.34,27.11,8.86,639,15,39,32,2,Administrator,Guest,v3.0,96.35,67.82,177.69,697.04,180.57,360,106.21,14.916,-6.15,-1.211,Medium,P4,AES128,Expired,0.9348,0.6917,2.198,73.47,14,False_Data_Injection
76,Node_10,West,Industrial,PLC,IEC61850,1496,34,49.5,887.51,47.49,21.97,5086,195,10,5,7,Maintenance,Guest,v1.0,91.5,78.14,341.03,836.34,156.85,452,258.19,8.698,4.38,-1.241,High,P4,AES128,Revoked,0.943,0.4574,1.568,97.27,13,Spoofing_Attack
77,Node_04,Central,Transmission,IED,TCP_IP,486,235,116.39,316.88,23.76,7.59,278,72,59,61,8,Engineer,Restricted,v1.2,47.97,49.13,127.73,17.27,207.29,734,52.76,5.623,5.33,-1.409,Low,P1,ChaCha20,Expired,0.78,0.5237,0.495,32.9,48,Replay_Attack
78,Node_06,West,Transmission,PLC,OPC_UA,714,1296,192.02,355.47,22.53,13.17,6052,298,23,4,22,Supervisor,Trusted,v1.0,73.14,56.13,276.27,224.07,60.28,378,363.04,18.863,8.79,-1.651,Medium,P1,AES256,Valid,0.6487,0.5442,0.33,88.32,94,Replay_Attack
79,Node_02,South,Renewable,PLC,MQTT,293,349,143.11,994.79,6.85,8.48,6129,48,23,49,10,Administrator,Restricted,v3.0,98.12,52.51,395.43,303.79,162.3,886,438.16,11.115,-2.02,1.546,Critical,P4,AES128,Valid,0.7212,0.2836,2.522,74.56,99,False_Data_Injection
80,Node_10,East,Renewable,Smart_Meter,DNP3,740,583,116.7,453.77,28.18,3.05,6773,175,36,43,2,Maintenance,Restricted,v3.0,5.83,91.38,77.18,286.68,157.65,867,486.15,13.992,-8.47,-1.006,High,P3,AES128,Valid,0.3859,0.6035,4.96,45.06,84,False_Data_Injection
81,Node_12,East,Transmission,Edge_Node,Modbus,779,1473,5.49,947.72,23.12,13.61,5439,46,56,48,21,Supervisor,Guest,v3.0,10.67,76.85,446.55,133.58,41.97,1175,152.76,0.084,4.59,-1.699,Critical,P3,RSA2048,Valid,0.0978,0.9544,7.269,67.05,86,Insider_Threat
82,Node_02,Central,Distribution,SCADA_Server,MQTT,673,1102,141.33,277.66,16.73,18.82,3333,42,51,63,12,Administrator,Guest,v2.3,42.0,67.86,352.06,699.55,109.0,683,103.98,19.435,-6.69,1.368,Medium,P1,RSA2048,Expired,0.0357,0.3572,7.28,83.44,73,Replay_Attack
83,Node_10,Central,Transmission,SCADA_Server,Modbus,401,195,169.0,503.32,36.53,8.68,5935,294,50,15,10,Administrator,Trusted,v1.2,58.4,15.1,382.86,411.76,202.6,683,76.74,2.415,-1.55,-0.615,High,P4,RSA2048,Valid,0.8639,0.15,1.313,46.79,12,Reconnaissance
84,Node_04,South,Distribution,IED,OPC_UA,309,1417,25.42,385.83,14.9,6.8,6235,177,15,8,22,Operator,Restricted,v1.0,87.2,15.65,81.15,93.52,221.77,280,47.69,18.0,8.79,0.12,Critical,P3,AES128,Valid,0.5471,0.5695,7.682,64.0,54,Replay_Attack
85,Node_08,Northeast,Distribution,Smart_Meter,OPC_UA,621,314,239.09,566.36,45.14,3.74,306,118,7,33,13,Operator,Trusted,v3.0,12.58,40.49,445.32,455.9,208.49,1126,404.34,15.497,-8.19,-0.316,High,P3,ChaCha20,Revoked,0.1041,0.4252,4.307,47.38,62,Replay_Attack
86,Node_07,Northeast,Transmission,PLC,IEC61850,267,326,23.79,898.92,43.64,20.45,6584,54,6,20,24,Operator,Guest,v2.3,54.73,89.23,216.38,697.32,44.5,186,206.24,15.81,0.78,0.27,Critical,P3,ChaCha20,Valid,0.3325,0.9228,5.919,13.57,24,Normal
